blocksize,exp_n100_pbkz_t1_dg,pred_n100_pbkz_t1_dg,pv21pred_n100_pbkz_t1_dg,exp_n100_pbkz_t5_dg,pred_n100_pbkz_t5_dg,pv21pred_n100_pbkz_t5_dg,exp_n100_pbkz_t10_dg,pred_n100_pbkz_t10_dg,pv21pred_n100_pbkz_t10_dg,exp_n100_pbkz_t15_dg,pred_n100_pbkz_t15_dg,pv21pred_n100_pbkz_t15_dg,exp_n100_pbkz_t20_dg,pred_n100_pbkz_t20_dg,pv21pred_n100_pbkz_t20_dg,pred_n100_bkz_t5_dg,pv21pred_n100_bkz_t5_dg,exp_n100_bkz_t5_dg,pred_n100_bkz_t10_dg,pv21pred_n100_bkz_t10_dg,exp_n100_bkz_t10_dg,pred_n100_bkz_t15_dg,pv21pred_n100_bkz_t15_dg,exp_n100_bkz_t15_dg,pred_n100_bkz_t20_dg,pv21pred_n100_bkz_t20_dg,exp_n100_bkz_t20_dg,exp_n100_pbkz_t1_tern,pred_n100_pbkz_t1_tern,exp_n100_pbkz_t5_tern,pred_n100_pbkz_t5_tern,exp_n100_pbkz_t10_tern,pred_n100_pbkz_t10_tern,exp_n100_pbkz_t15_tern,pred_n100_pbkz_t15_tern,exp_n100_pbkz_t20_tern,pred_n100_pbkz_t20_tern,pred_n100_bkz_t5_tern,exp_n100_bkz_t5_tern,pred_n100_bkz_t10_tern,exp_n100_bkz_t10_tern,pred_n100_bkz_t15_tern,exp_n100_bkz_t15_tern,pred_n100_bkz_t20_tern,exp_n100_bkz_t20_tern,exp_n93_pbkz_t1_dg,pred_n93_pbkz_t1_dg,pv21pred_n93_pbkz_t1_dg,exp_n93_pbkz_t5_dg,pred_n93_pbkz_t5_dg,pv21pred_n93_pbkz_t5_dg,exp_n93_pbkz_t10_dg,pred_n93_pbkz_t10_dg,pv21pred_n93_pbkz_t10_dg,exp_n93_pbkz_t15_dg,pred_n93_pbkz_t15_dg,pv21pred_n93_pbkz_t15_dg,exp_n93_pbkz_t20_dg,pred_n93_pbkz_t20_dg,pv21pred_n93_pbkz_t20_dg,pred_n93_bkz_t5_dg,pv21pred_n93_bkz_t5_dg,exp_n93_bkz_t5_dg,pred_n93_bkz_t10_dg,pv21pred_n93_bkz_t10_dg,exp_n93_bkz_t10_dg,pred_n93_bkz_t15_dg,pv21pred_n93_bkz_t15_dg,exp_n93_bkz_t15_dg,pred_n93_bkz_t20_dg,pv21pred_n93_bkz_t20_dg,exp_n93_bkz_t20_dg,exp_n93_pbkz_t1_cbin,pred_n93_pbkz_t1_cbin,exp_n93_pbkz_t5_cbin,pred_n93_pbkz_t5_cbin,exp_n93_pbkz_t10_cbin,pred_n93_pbkz_t10_cbin,exp_n93_pbkz_t15_cbin,pred_n93_pbkz_t15_cbin,exp_n93_pbkz_t20_cbin,pred_n93_pbkz_t20_cbin,pred_n93_bkz_t5_cbin,exp_n93_bkz_t5_cbin,pred_n93_bkz_t10_cbin,exp_n93_bkz_t10_cbin,pred_n93_bkz_t15_cbin,exp_n93_bkz_t15_cbin,pred_n93_bkz_t20_cbin,exp_n93_bkz_t20_cbin
40,0.0,0.000004,0.000004,0.003,0.000181,0.000192,0.008,0.000431,0.000457,0.008,0.000694,0.000735,0.017,0.000957,0.001014,8.015386493278237e-08,8.731755026528244e-08,0,9.239351541309818e-06,9.904015830832288e-06,0,7.109290952692325e-05,7.57449126349415e-05,0,0.00020455335316412146,0.00021741656040521348,0,0.0,0.000002,0.001,0.000086,0.007,0.000205,0.003,0.000332,0.008,0.000459,2.9148448867620425e-08,0,3.871760676861881e-06,0,3.169588886026602e-05,0,9.38147183237921e-05,0,0.0,0.000004,0.000004,0.003,0.000149,0.000153,0.003,0.000350,0.000358,0.003,0.000563,0.000576,0.011,0.000771,0.000789,6.296549901937755e-08,6.581514927258307e-08,0,8.857315523587569e-06,9.132545053973279e-06,0,6.621564000014944e-05,6.796563992878193e-05,0,0.00018312120632600515,0.00018766122633752388,0,0.0,0.000001,0.002,0.000051,0.002,0.000121,0.007,0.000195,0.002,0.000268,1.5075714880076487e-08,0,2.594517184727843e-06,0,2.106101543255576e-05,0,6.036499797580699e-05,0
41,0.0,0.000011,0.000012,0.003,0.000442,0.000469,0.008,0.001007,0.001068,0.01,0.001586,0.001684,0.019,0.002163,0.002299,1.430565310828522e-07,1.5605440838295503e-07,0,1.603309253219004e-05,1.718960840572115e-05,0,0.00011546098649363954,0.00012303314805914056,0,0.00031755590709952474,0.0003376301490660291,0,0.0,0.000005,0.001,0.000208,0.008,0.000477,0.004,0.000755,0.008,0.001032,5.1080082282104215e-08,0,6.665019135385028e-06,0,5.115035328493403e-05,0,0.00014471945840458295,0,0.0,0.000011,0.000012,0.004,0.000361,0.000370,0.004,0.000812,0.000832,0.007,0.001278,0.001310,0.013,0.001736,0.001780,1.1479204198038458e-07,1.201116277483829e-07,0,1.5243024769856767e-05,1.5717877346233826e-05,0,0.00010588253646666336,0.0001086902731676249,0,0.0002796980345713067,0.0002867035335489924,0,0.0,0.000003,0.003,0.000123,0.005,0.000278,0.008,0.000440,0.002,0.000599,2.674014987596531e-08,0,4.403428808909342e-06,0,3.326753598794778e-05,0,9.105500838653158e-05,0
42,0.0,0.000024,0.000026,0.003,0.001045,0.001108,0.009,0.002754,0.002924,0.015,0.004698,0.005002,0.021,0.006718,0.007175,5.782261061223079e-07,6.289423320056365e-07,0,8.053002097478926e-05,8.587030086488923e-05,0,0.000594179588647205,0.0006297873904162668,0,0.0016279054223854123,0.0017237190442262215,0,0.0,0.000010,0.001,0.000499,0.008,0.001344,0.005,0.002322,0.009,0.003351,2.0980656077740706e-07,0,3.517948487917972e-05,0,0.00028014349779848825,0,0.0007943147539850745,0,0.0,0.000025,0.000025,0.004,0.000842,0.000862,0.004,0.002179,0.002233,0.009,0.003685,0.003787,0.015,0.005234,0.005394,4.6225317656920787e-07,4.824954026925901e-07,0,7.257684665456443e-05,7.453273244221426e-05,0,0.0005090428198871613,0.0005206483851639354,0,0.0013357847394286028,0.001365905584421542,0,0.0,0.000007,0.003,0.000290,0.006,0.000770,0.008,0.001323,0.002,0.001898,1.0963606023167071e-07,0,2.2311263238798706e-05,0,0.00017283396613602137,0,0.0004731595523723588,0
43,0.0,0.000058,0.000062,0.003,0.002279,0.002417,0.014,0.005906,0.006296,0.019,0.010013,0.010741,0.027,0.014035,0.015156,8.088030221218374e-07,8.813015084580476e-07,0,9.54042611343992e-05,0.0001018725711389414,0,0.0006312104841586059,0.0006701670700464681,0,0.0016286348539494332,0.0017277539002273638,0,0.0,0.000025,0.002,0.001107,0.01,0.002939,0.007,0.005066,0.012,0.007181,2.8708700734415495e-07,0,4.084187859075265e-05,0,0.0002907572224295348,0,0.0007746614533914049,0,0.0,0.000057,0.000058,0.005,0.001803,0.001846,0.005,0.004607,0.004739,0.011,0.007726,0.007993,0.022,0.010768,0.011204,6.611746429118497e-07,6.910539450373539e-07,0,8.640253808517665e-05,8.881680610703605e-05,0,0.0005427464119048465,0.0005557699451124654,0,0.0013433835675156088,0.0013754679736847884,0,0.0,0.000017,0.004,0.000632,0.007,0.001663,0.009,0.002840,0.002,0.004005,1.5185313215000345e-07,0,2.5771953180459558e-05,0,0.00017802443049672587,0,0.0004583336237438373,0
44,0.0,0.000124,0.000132,0.005,0.004201,0.004465,0.015,0.010434,0.011197,0.026,0.017041,0.018486,0.036,0.023350,0.025594,1.836582237618134e-06,1.9989890274744794e-06,0,0.0002094427624779396,0.00022318407533239762,0,0.0013044495736990356,0.001383402573430881,0,0.0032343981279131474,0.0034328348447015284,0,0.0,0.000054,0.002,0.002067,0.012,0.005273,0.01,0.008774,0.016,0.012192,6.52961182551405e-07,0,9.126160333594242e-05,0,0.0006139913634091913,0,0.0015750097004270335,0,0.0,0.000119,0.000122,0.006,0.003272,0.003357,0.01,0.008042,0.008323,0.021,0.013034,0.013615,0.028,0.017808,0.018770,1.5104977289915702e-06,1.5771624709940994e-06,0,0.0001856704196042013,0.00019056751910715594,0,0.0010938461892855687,0.0011194394084978229,0,0.0026070719973471618,0.0026714887470132213,0,0.0,0.000036,0.005,0.001162,0.009,0.002945,0.01,0.004866,0.004,0.006742,3.466193842884822e-07,0,5.649339073581224e-05,0,0.00036755174519926393,0,0.0009128690604055386,0
45,0.0,0.000289,0.000307,0.006,0.011047,0.011788,0.021,0.030666,0.033498,0.034,0.051819,0.058047,0.051,0.072174,0.082771,1.3114707244958585e-05,1.4152615655748837e-05,0.0,0.001714300455219995,0.0018110365846474622,0.0,0.010324187022449976,0.010949516615235487,0.005,0.024448383110217648,0.026294543850727298,0.01,0.0,0.000129,0.004,0.005823,0.015,0.017205,0.017,0.030358,0.026,0.043751,4.989054345481591e-06,0.0,0.0008414272181639339,0.0,0.005602969274663954,0.0,0.013982176846033482,0.0,0.0,0.000267,0.000274,0.006,0.008432,0.008690,0.014,0.023092,0.024299,0.029,0.038817,0.041767,0.046,0.054035,0.059375,1.0522559286881255e-05,1.0909960178506977e-05,0.0,0.0014256357259373553,0.0014548567934331924,0.0,0.008129543974129136,0.008339706170590048,0.005,0.0186332847191492,0.01936119850719259,0.0,0.001,0.000084,0.005,0.003256,0.012,0.009578,0.012,0.016868,0.007,0.024345,2.6350451518373456e-06,0.0,0.0005062961273519189,0.0,0.003276422007031165,0.0,0.007977771334958016,0.0
46,0.0,0.000665,0.000705,0.014,0.025797,0.027892,0.033,0.065505,0.074045,0.067,0.102030,0.119953,0.09,0.134599,0.163555,2.0767906265873554e-05,2.2404114871809047e-05,0.0,0.0024672132795535207,0.002606858530135408,0.0,0.013725741980327595,0.014607612642913756,0.0,0.03105566254718084,0.03363654079136126,0.025,0.0,0.000306,0.004,0.014515,0.024,0.039796,0.042,0.065300,0.067,0.089800,7.868829890244754e-06,0.0,0.0012184022577853251,0.0,0.007510546800212514,0.005,0.01794938775480764,0.01,0.0,0.000595,0.000608,0.015,0.019300,0.020133,0.026,0.048551,0.052674,0.057,0.075846,0.085255,0.076,0.100646,0.116659,1.6714366829835262e-05,1.7323874517499266e-05,0.0,0.0020233768081091793,0.002065474651041851,0.0,0.01066595900909609,0.010976105657508943,0.005,0.023426810074940862,0.02449235901253308,0.02,0.001,0.000195,0.007,0.008040,0.019,0.021972,0.029,0.036274,0.029,0.050354,4.148923089235914e-06,0.0,0.0007211087001443854,0.0,0.004319414312999148,0.005,0.01009664637168795,0.005
47,0.0,0.001569,0.001658,0.026,0.050087,0.055381,0.083,0.112091,0.132150,0.135,0.164036,0.203166,0.167,0.208432,0.268201,4.220861310086633e-05,4.5434234964640015e-05,0.0,0.004344289754645008,0.004589997629225136,0.015,0.021950415308084496,0.02351604430442708,0.02,0.047035945771896015,0.051641522117749125,0.055,0.0,0.000755,0.026,0.029985,0.057,0.073339,0.101,0.114151,0.135,0.152269,1.6215374961952675e-05,0.0,0.0022023131786171736,0.0,0.012399497191430816,0.01,0.02823981619146847,0.035,0.001,0.001358,0.001386,0.026,0.037042,0.039425,0.062,0.083063,0.093657,0.102,0.122813,0.145070,0.155,0.157682,0.193438,3.405639156859792e-05,3.523286044554977e-05,0.0,0.003522818538021381,0.0035977140237443295,0.0,0.016924331825222513,0.017527576167544218,0.025,0.03537338077241363,0.03744932129795573,0.045,0.003,0.000469,0.016,0.016540,0.047,0.040777,0.07,0.064537,0.08,0.087652,8.58757495460041e-06,0.0,0.0012949281060983284,0.0,0.007105968791332736,0.02,0.01590467078535962,0.035
48,0.003,0.003507,0.003701,0.063,0.084375,0.096090,0.153,0.170573,0.210462,0.244,0.238149,0.310286,0.255,0.293529,0.397335,8.622996908709302e-05,9.257626884496978e-05,0.0,0.007588736284261383,0.008026360532563906,0.02,0.034752548284832874,0.03760127132453543,0.025,0.0704701185961983,0.07877834266511648,0.04,0.002,0.001765,0.051,0.053751,0.107,0.120460,0.182,0.180421,0.225,0.234557,3.3768313448392024e-05,0.0,0.0039707089907345975,0.005,0.020415795971182232,0.035,0.044338235510679315,0.05,0.002,0.002949,0.003008,0.045,0.062259,0.068070,0.112,0.127526,0.150246,0.171,0.180880,0.225105,0.234,0.226045,0.293249,6.964282028065919e-05,7.189185958596428e-05,0.0,0.006093252562124986,0.006232238518850093,0.0,0.02665558018428204,0.02786751489722137,0.03,0.053002365632927366,0.057072168007582545,0.065,0.004,0.001076,0.033,0.029794,0.081,0.068340,0.132,0.105300,0.156,0.140738,1.7968796744801087e-05,0.0,0.002326562486053711,0.005,0.011710788784551208,0.02,0.025142869759874644,0.03
49,0.005,0.007307,0.007712,0.113,0.129904,0.153164,0.231,0.241822,0.312082,0.361,0.324081,0.440980,0.375,0.388467,0.545609,0.00017627339468110733,0.00018868135310685252,0.0,0.013098945458180194,0.013892506254124488,0.01,0.054225555600850454,0.05949023002863,0.07,0.10392197011200745,0.11883440614005425,0.105,0.005,0.003856,0.093,0.088434,0.179,0.185003,0.281,0.267399,0.365,0.338451,7.075227860538711e-05,0.0,0.0071162925667059874,0.035,0.03339728371065824,0.04,0.0691456729550865,0.115,0.004,0.005994,0.006121,0.078,0.096337,0.108833,0.179,0.183459,0.226511,0.263,0.250908,0.328513,0.346,0.305803,0.416962,0.00014231997816350594,0.00014655942278325788,0.0,0.010428977378978296,0.010700637422654365,0.015,0.041493504681217735,0.04396173005240985,0.04,0.07844074647670078,0.08632976517411003,0.1,0.007,0.002319,0.059,0.049742,0.131,0.108456,0.22,0.163445,0.251,0.214991,3.7854471697467626e-05,0.0,0.0041681449278474225,0.01,0.019273352672209414,0.04,0.03974701518785303,0.075
